doc_id,category,text
talk_politics_misc_001,talk.politics.misc,"Since we are talking in theory and opinion, then I'll put in my $.02.
	First, a rebuttle. Personally, I love under-dogs. Unlike 
bandwagon jumpers, I abandon teams when they start winning. People that
cheer for winners just because they are winners are insecure people who are
afraid to be associated with something negative.


On this one point, I agree. The reason that people bash WASP's is 
because they have been on top for a long time. Whoever is on top is
going to oppress whoever is below them so that they can stay on top.
If Hannibal had pushed on to Rome after his victory at Cannae we might
all be bashing the blacks for oppressing us peacefull white people 
for all these centuries. I seriously doubt that if the blacks had 
conquered the world that they would have treated their colonies any
better/worse than the whites did.
	The white race did some unspeakable things to the other races of
the world. But they only did what any other conquering race would have done
(ie. Khan). The real question is, should we carry over that blame to the
present generation who didn't participate in the crimes? Would it do 
any good? Has it done Bosnia any good? They are fighting wars that stopped
hundreds, even thousands, of years ago. 
	My opinion is, if there are inequities now, then let's change
them. But don't blame me for what my ancestors did. It wouldn't settle
anything anyway.


That's where you are dead wrong. You don't join up on a side just because
they are winning. That makes you spineless. Winning, in high school and
after high school, is still the best way to be popular, but it doesn't make
you right. All the best causes in history were loosing causes (with only
a couple exceptions). Winning only makes a difference to other people, not
to yourself. And what good is the opinions of other people if they only care
how you appear (ie. a Winner).

	If you can't beat them, fight them every inch of the way. 


------------------------------------------------------------------------------
""At that moment the bottom fell out of Authur's mind.          Garrett Johnson
 His eyes turned inside out. His feet began to leak out     Garrett@Ingres.com
 of the top of his head. The room folded flat around him, 
 spun around, shifted out of existence and left him sliding
 into his own naval."" - Douglas Adams"
rec_sport_baseball_001,rec.sport.baseball,"Wetteland comes off the DL on April 23rd, and will be evaluated on the 24th.
He is throwing well, and without pain on the side.

DeShields is not on the DL.  He suffered from the chicken pox and lost
(this is the official total) 12 pounds.  He will be back, hopefully,
next week.

Walker will be back this tonight or tomorrow..."
rec_sport_baseball_002,rec.sport.baseball,"Hmm, it seems the Little Leaguers didn't do too badly against Hershiser,
Strawberry, E. Davis, and the rest of the Dodgers yesterday ...   :-)"
sci_med_001,sci.med,"Path: news.larc.nasa.gov!darwin.sura.net!zaphod.mps.ohio-state.edu!uwm.edu!linac!att!bu.edu!dozonoff
   From: dozonoff@bu.edu (david ozonoff)
   Newsgroups: sci.med
   Date: 21 Apr 93 16:18:19 GMT
   References: <PAULSON.93Apr19081647@cmb00.larc.nasa.gov>
   Sender: news@bu.edu
   Lines: 22
   X-Newsreader: Tin 1.1 PL5

   : 
   {much deleted]
   : 
   : 
   : The fact that this happened while eating two sugar coated cereals made
   : by Kellog's makes me think she might be having an allergic reaction to
   : something in the coating or the cereals.  Of the four of us in our
   : immediate family, Kathryn shows the least signs of the hay fever, running
   : nose, itchy eyes, etc. but we have a lot of allergies in our family history
   : including some weird food allergies - nuts, mushrooms. 
   : 

   Many of these cereals are corn-based. After your post I looked in the
   literature and located two articles that implicated corn (contains
   tryptophan) and seizures. The idea is that corn in the diet might
   potentiate an already existing or latent seizure disorder, not cause it.
   Check to see if the two Kellog cereals are corn based. I'd be interested.
   --
   David Ozonoff, MD, MPH		 |Boston University School of Public Health
   dozonoff@med-itvax1.bu.edu	 |80 East Concord St., T3C
   (617) 638-4620			 |Boston, MA 02118 


A couple of folks have suggested the ""corn connection"".  In the five month
period between the two seizures, my daughter had eaten a fair amount of
Kix and Berry Berry Kix in the mornings and never had a problem.  I checked
the labels and the first ingredient is corn.  She has also never had a problem
eating corn or corn on the cob but of course, that is usually later in the day
with a full stomach so the absorption would not be so high.  I do believe that
Frost Flakes have corn in them but I will have to check the Fruit Loops.  But
the fact that she has eaten this other corny cereal in the morning makes me
wonder.

Thanks for checking into this.  All information at this point is valuable to me.

Sharon"
talk_politics_misc_002,talk.politics.misc,"Yes, very serious.  I claim that I can substantiate my statement that
Rudman says he doesn't believe Perot was investigating him.  You claim
Perot was investigating him.  If you will state that you were in error
on this point, provided I produce the source, I'll go dig it up.

Now give me one reason why I should go to the trouble if you won't
agree to this?  It is simple enough you know.  But I don't have time
to waste if you'll just blow it off with more of the tripe you usually
post."
talk_politics_misc_003,talk.politics.misc,"improve these kids' chances>>of getting another job in the future, but what 
inner city kid would want to hold>>down just one more minimum wage job when 
there is so much more money to be made>>dealing drugs?  

I suppose the correct answer is not ""family values""?

S'pose not.  Never mind.  Sorry."
talk_politics_misc_004,talk.politics.misc,"To answer your irrelevant question, yes a person of color is human,
but I still don't know what you mean by human being and you have
merely begged the question without responding.  By trying to inject
the notion of race into the discussion, you muddy the waters without
adding any insight whatever.  The same parallel question could
be ""Is a polydactyl person a human being?""  You still have not
answered what you mean by human being.  Please do so.


You won't answer the question and instead drag in irrelevancies.
If you want a definition of human being that does not depend on
the vagaries of law, but holds solid whatever the law may rule,
provide it for me.


More irrelevancies.  As Larry Margolis pointed out, the law
has made special exceptions in order to include fetuses, but does
not follow your version of human being.  And as he pointed out,
brain death is not a means of determining who has the rights
of the living, but rather who has died.  There is a significant
difference.

What I am wondering now is, has your argument so failed you that
you feel it necessary to drag out irrelevancies and leave the
thread you started?  You got answers to your questions when
you began baiting me, if you recall, after you had made some
ridiculous remarks about Adrienne Regard and, having been corrected,
changed the subject with your remarks about having a discussion
of substance.  If you really wanted a discussion of substance,
why then do you disregard logic and substance in order to toss
silly accussations, e.g. ""It really doesn't matter to you...""
If it matters to you, then why not define human being and seek
some substance?  You're not going to convince a logical person
of the rightness of your position unless you apply some logic
and show some meaning to your words.


As others point out, one is sacrificed for the other depending on
which has the better chance at survival.  Again, your analogy
fails.  Not precedence, but possession makes a difference here.
A woman's womb is indisputably her own.  Also, I see you ignore
my statement that you would grant rights to a fetus that would
not be granted a born human being.  Was that due to its inconvenience?


Is it?  Please cite a precedent and the basis of the ruling.


You simply assert things without any support.  Your analogy is
not accurate and your assertions are unsupported.  Try this on
for size.  It is not murder for one Siamese twin to kill
the other in the womb.  There.  We now have equal arguments.
But the idea is illogical.  For one Siamese twin to kill the
other in the womb would likely be to kill itself as well.  The
systems are dependent on each other for life.  I'm still struggling
to see anything analagous here and failing to do so.


Your argument is from Fantasy Island.  Your comparison is a total
failure, as I have demonstrated already, and has no basis in
reality, neither legally nor medically.  And for you to assert
that it is not a perfect comparison because of the impossible,
that of coercion or oppression, is ridiculous.  As I said,
you give the analogy too little credit for failure.  On the one
hand you start this by saying you want to take a real, rather than
a hypothetical, situation, then you fly off into Siamese twins
murdering one another in the womb or coercing or oppressing each
other in the womb when the reality of the situation you describe
in now way matches your version.  As I said before, decisions
are made regarding which twin lives and dies in situations where
they cannot both survive.  And, furthermore, as I have already said,
there is a difference between an equal claim to organs and a claim
that is unequal.  You seem to be asserting that a fetus has a
claim on a woman's womb.  When the fetus is born, what happens to
its claim?  And by what reason do you assert its claim?


You haven't answered the question.  The situations are not analagous.


Again you avoid the question.  Dependence can be transferred, and
it is not as slow as you seem to think.


Yes, and I'd hate to have been the one to tell Dr Gunn's children that
he was murdered by a religious, ""pro-life"" fanatic.  Please do
try to stay relevant.


Clever comeback.  I congratulate you on the readiness of your wit.

What happened to that claim to bodily organs where life is at stake?
Why does this parent now have an indisputable right to his or her
kidney when previously the parent did not, by your standards?  What
is different about the two situations?  I see I have to spell this
out for you since the meaning was too subtle for you.  In the one
case you do not recognize a difference between a fetus and a born
child (you ask why a born child cannot be abandoned but a fetus
can), and in this case you recognize a significant difference
between the fetus and born child where the lives of the two are at
stake.  You can't have it both ways.  Action and inaction are
irrelevant to the principle, but you are wrong about the inaction
anyway.  Ask any of the numerous women who post here and have
borne children how inactive their pregnancy was.  To have a
healthy, live child, a woman does more than hang out, eat as
she chooses, plays volleyball like she always did, drinks at
parties with her friends, etc.  She behaves very differently, and
the provision of her resources to a fetus may be no more voluntary
than the beating of her heart, but it is far from inactive."
rec_sport_baseball_003,rec.sport.baseball,"ekdfc@ttacs1.ttu.edu (David Coons):
 > > The rules say baseball is a game between two teams of nine
 > > players each.  Let's keep it that way. 

niepornt@phoenix.Princeton.EDU (David Marc Nieporent):
 > Not any more the rules don't say that.  So that's a pretty dumb
 > argument.


REALLY???  My little mind be boggled!  I don't have a 1993 Rule Book
yet, so David, would you please post the new wording of Rule 1.01 -- I
am MIGHTILY curious!  Much thanks."
talk_politics_misc_005,talk.politics.misc,"# ##For a while, homosexuals paid higher insurance rates than straights,
# ##and with very good reason, until the government made it illegal to
# ##do so.
# 
# Well if we go by this philosophy how many Children do you think
# we help pay for with our insurance premiums???  Children who obviously
# cannot be afforded, since the insurance companies have to pay for
# all of the prenatal and birthing.....  What about the children born
# with horrible flaws who cost the system an arm and a leg to be kept alive?
# We all pay because we are all part of this society and we should take
# care of one another.....

Oddly enough, dependent coverage costs a bit more than for one self
alone.  But if you really believe your claims, you could make a lot
of money starting the ""Homosexuals Health Insurance Co."" and refuse to
insure ""breeders.""  But I shudder to think what your premiums will be
like.

# Bil Snodgrass III"
talk_politics_misc_006,talk.politics.misc,"Yeah, I'm also curious as to why you felt compelled to remind us of the
guy's race. BTW, I don't mean to imply that you're clueless or anything, but
the statement was *hardly* ""benign"". 
--"
